Category	-	Name	-	Votes
Best Romantic Diner	-	Pacific Rim	-	209
Best Romantic Diner	-	Taste Kitchen	-	134
Best Coffee	-	RoosRoast Coffee	-	608
Best Coffee	-	M36 Coffee Roasters	-	460
Best Coffee	-	Sweetwaters Coffee & Tea	-	403
Best Coffee	-	Comet Coffee	-	306
Best Coffee	-	Ann Arbor Coffee Roasting Company	-	238
Best Coffee	-	Lab Cafe	-	225
Best Nightlife	-	Rick's American Cafe	-	490
Best Nightlife	-	Scorekeepers Sports Grill and Pub	-	393
Best Nightlife	-	The Blind Pig	-	313
Best Nightlife	-	Necto	-	280
Best Nightlife	-	Mash	-	147
Best Nightlife	-	Bab's Underground	-	125
Best Nightlife	-	Blue Leprechaun	-	93
Best Boba	-	Quickly Boba Cafe	-	546
Best Boba	-	Sharetea	-	504
Best Boba	-	Tea Ninja	-	390
Best Boba	-	Sweeting	-	270
Best Boba	-	CoCo	-	220
Best Boba	-	UniTea	-	175
